meter_id,local_interval_datetime,kwh,voltage,rssi,pf
Customer_Meter_3,2022-09-01T17:00:00Z,23.56,282.3,-75,0.94
Customer_Meter_3,2022-09-01T17:15:00Z,23.52,280.19,-61,0.97
Customer_Meter_3,2022-09-01T17:30:00Z,23.52,286.98,-56,0.99
Customer_Meter_3,2022-09-01T17:45:00Z,23.56,282.59,-54,0.97
Customer_Meter_3,2022-09-01T18:00:00Z,23.56,282.61,-60,0.95
Customer_Meter_3,2022-09-01T18:15:00Z,23.6,282.54,-81,0.97
Customer_Meter_3,2022-09-01T18:30:00Z,23.64,286.62,-71,0.99
Customer_Meter_3,2022-09-01T18:45:00Z,23.56,279.02,-52,0.96
Customer_Meter_3,2022-09-01T19:00:00Z,23.6,280.56,-63,0.98
Customer_Meter_3,2022-09-01T19:15:00Z,23.6,283.46,-65,0.93
Customer_Meter_3,2022-09-01T19:30:00Z,23.6,280.38,-73,0.98
Customer_Meter_3,2022-09-01T19:45:00Z,23.64,287.57,-62,0.95
Customer_Meter_3,2022-09-01T20:00:00Z,23.6,282.24,-70,0.92
Customer_Meter_3,2022-09-01T20:15:00Z,23.6,282.79,-57,0.95
Customer_Meter_3,2022-09-01T20:30:00Z,23.6,280.23,-75,0.98
Customer_Meter_3,2022-09-01T20:45:00Z,23.6,281.5,-73,0.97
Customer_Meter_3,2022-09-01T21:00:00Z,23.6,278.98,-84,0.95
Customer_Meter_3,2022-09-01T21:15:00Z,23.64,283.97,-74,0.95
Customer_Meter_3,2022-09-01T21:30:00Z,23.6,280.98,-83,0.96
Customer_Meter_3,2022-09-01T21:45:00Z,23.56,286.61,-62,0.98
Customer_Meter_3,2022-09-01T22:00:00Z,23.6,281.27,-70,0.91
Customer_Meter_3,2022-09-01T22:15:00Z,23.6,282.61,-78,0.99
Customer_Meter_3,2022-09-01T22:30:00Z,23.6,279.54,-81,0.91
Customer_Meter_3,2022-09-01T22:45:00Z,23.64,282.53,-73,0.94
Customer_Meter_3,2022-09-01T23:00:00Z,23.6,283.27,-71,0.97
Customer_Meter_3,2022-09-01T23:15:00Z,23.56,284.4,-71,0.97
Customer_Meter_3,2022-09-01T23:30:00Z,23.6,285.43,-56,0.9
Customer_Meter_3,2022-09-01T23:45:00Z,23.56,287.43,-77,0.96
Customer_Meter_3,2022-09-02T00:00:00Z,23.6,283.69,-64,0.95
Customer_Meter_3,2022-09-02T00:15:00Z,23.6,283.93,-63,0.92
Customer_Meter_3,2022-09-02T00:30:00Z,23.6,283.8,-77,0.97
Customer_Meter_3,2022-09-02T00:45:00Z,23.6,286.63,-67,0.94
Customer_Meter_3,2022-09-02T01:00:00Z,23.56,283.22,-74,0.92
Customer_Meter_3,2022-09-02T01:15:00Z,23.56,281.28,-64,0.9
Customer_Meter_3,2022-09-02T01:30:00Z,23.56,286.52,-67,0.94
Customer_Meter_3,2022-09-02T01:45:00Z,23.64,285.62,-73,0.98
Customer_Meter_3,2022-09-02T02:00:00Z,23.6,280.01,-71,0.96
Customer_Meter_3,2022-09-02T02:15:00Z,23.6,280.21,-52,0.95
Customer_Meter_3,2022-09-02T02:30:00Z,23.6,288.12,-54,0.91
Customer_Meter_3,2022-09-02T02:45:00Z,23.56,282.36,-82,0.94
Customer_Meter_3,2022-09-02T03:00:00Z,23.6,279.93,-65,0.91
Customer_Meter_3,2022-09-02T03:15:00Z,23.56,285.48,-79,0.96
Customer_Meter_3,2022-09-02T03:30:00Z,23.6,286.61,-54,0.94
Customer_Meter_3,2022-09-02T03:45:00Z,23.56,280.37,-62,0.92
Customer_Meter_3,2022-09-02T04:00:00Z,23.6,285.91,-72,0.92
Customer_Meter_3,2022-09-02T04:15:00Z,23.6,287.32,-84,0.97
Customer_Meter_3,2022-09-02T04:30:00Z,23.68,283.79,-52,0.99
Customer_Meter_3,2022-09-02T04:45:00Z,23.68,281.51,-76,0.99
Customer_Meter_3,2022-09-02T05:00:00Z,23.8,282.88,-66,0.93
Customer_Meter_3,2022-09-02T05:15:00Z,23.8,279.99,-58,0.9
Customer_Meter_3,2022-09-02T05:30:00Z,23.64,284.44,-79,0.91
Customer_Meter_3,2022-09-02T05:45:00Z,23.56,285.79,-78,0.96
Customer_Meter_3,2022-09-02T06:00:00Z,23.56,279.63,-60,0.99
Customer_Meter_3,2022-09-02T06:15:00Z,23.52,282.82,-73,0.9
Customer_Meter_3,2022-09-02T06:30:00Z,23.52,280.77,-54,0.91
Customer_Meter_3,2022-09-02T06:45:00Z,23.52,288.23,-53,0.98
Customer_Meter_3,2022-09-02T07:00:00Z,23.52,287.66,-55,0.95
Customer_Meter_3,2022-09-02T07:15:00Z,23.48,287.2,-76,0.91
Customer_Meter_3,2022-09-02T07:30:00Z,23.52,284.84,-60,0.93
Customer_Meter_3,2022-09-02T07:45:00Z,23.52,284.26,-81,0.97
Customer_Meter_3,2022-09-02T08:00:00Z,23.52,284.05,-58,0.9
Customer_Meter_3,2022-09-02T08:15:00Z,23.48,284.52,-74,0.99
Customer_Meter_3,2022-09-02T08:30:00Z,23.48,286.25,-53,0.98
Customer_Meter_3,2022-09-02T08:45:00Z,23.48,288.25,-78,0.97
Customer_Meter_3,2022-09-02T09:00:00Z,23.52,284.82,-57,0.92
Customer_Meter_3,2022-09-02T09:15:00Z,23.44,287.02,-63,0.96
Customer_Meter_3,2022-09-02T09:30:00Z,23.48,284.58,-72,0.94
Customer_Meter_3,2022-09-02T09:45:00Z,23.52,282.36,-83,0.95
Customer_Meter_3,2022-09-02T10:00:00Z,23.44,287.69,-72,0.95
Customer_Meter_3,2022-09-02T10:15:00Z,23.44,279.14,-54,0.91
Customer_Meter_3,2022-09-02T10:30:00Z,23.52,280.43,-71,0.95
Customer_Meter_3,2022-09-02T10:45:00Z,23.4,284.33,-58,0.91
Customer_Meter_3,2022-09-02T11:00:00Z,23.48,283.03,-54,0.92
Customer_Meter_3,2022-09-02T11:15:00Z,23.44,279.13,-75,0.93
Customer_Meter_3,2022-09-02T11:30:00Z,23.44,281.44,-59,0.92
Customer_Meter_3,2022-09-02T11:45:00Z,23.44,285.57,-79,0.92
Customer_Meter_3,2022-09-02T12:00:00Z,23.44,281.78,-84,0.97
Customer_Meter_3,2022-09-02T12:15:00Z,23.44,280.68,-64,0.96
Customer_Meter_3,2022-09-02T12:30:00Z,23.44,285.73,-70,0.96
Customer_Meter_3,2022-09-02T12:45:00Z,23.44,283.18,-64,0.93
Customer_Meter_3,2022-09-02T13:00:00Z,23.44,278.95,-81,0.9
Customer_Meter_3,2022-09-02T13:15:00Z,23.44,286.67,-81,0.97
Customer_Meter_3,2022-09-02T13:30:00Z,23.44,284.26,-75,0.94
Customer_Meter_3,2022-09-02T13:45:00Z,23.44,279.65,-73,0.9
Customer_Meter_3,2022-09-02T14:00:00Z,23.48,281.12,-73,0.91
Customer_Meter_3,2022-09-02T14:15:00Z,23.44,286.1,-73,0.93
Customer_Meter_3,2022-09-02T14:30:00Z,23.44,287.25,-76,0.94
Customer_Meter_3,2022-09-02T14:45:00Z,23.44,280.86,-69,0.93
Customer_Meter_3,2022-09-02T15:00:00Z,23.48,286.51,-76,0.93
Customer_Meter_3,2022-09-02T15:15:00Z,23.44,281.91,-75,0.99
Customer_Meter_3,2022-09-02T15:30:00Z,23.48,287.95,-55,0.91
Customer_Meter_3,2022-09-02T15:45:00Z,23.44,280.96,-81,0.98
Customer_Meter_3,2022-09-02T16:00:00Z,23.48,288.23,-78,0.96
Customer_Meter_3,2022-09-02T16:15:00Z,23.44,287.95,-58,0.95
Customer_Meter_3,2022-09-02T16:30:00Z,23.44,284.27,-79,0.94
Customer_Meter_3,2022-09-02T16:45:00Z,23.44,281.64,-60,0.97
Customer_Meter_3,2022-09-02T17:00:00Z,23.44,283.62,-53,0.98
Customer_Meter_3,2022-09-02T17:15:00Z,23.44,285.11,-74,0.94
Customer_Meter_3,2022-09-02T17:30:00Z,23.44,281.74,-59,0.95
Customer_Meter_3,2022-09-02T17:45:00Z,23.44,280.96,-84,0.96
Customer_Meter_3,2022-09-02T18:00:00Z,23.48,283.65,-76,0.94
Customer_Meter_3,2022-09-02T18:15:00Z,23.48,284.18,-68,0.96
Customer_Meter_3,2022-09-02T18:30:00Z,23.48,280.15,-82,0.91
Customer_Meter_3,2022-09-02T18:45:00Z,23.48,283.7,-64,0.91
Customer_Meter_3,2022-09-02T19:00:00Z,23.48,281.14,-84,0.95
Customer_Meter_3,2022-09-02T19:15:00Z,23.48,280.14,-84,0.91
Customer_Meter_3,2022-09-02T19:30:00Z,23.52,282.13,-71,0.98
Customer_Meter_3,2022-09-02T19:45:00Z,23.52,280.6,-52,0.97
Customer_Meter_3,2022-09-02T20:00:00Z,23.52,283.79,-78,0.93
Customer_Meter_3,2022-09-02T20:15:00Z,23.48,283.72,-77,0.91
Customer_Meter_3,2022-09-02T20:30:00Z,23.52,280.83,-57,0.98
Customer_Meter_3,2022-09-02T20:45:00Z,23.52,280.31,-82,0.98
Customer_Meter_3,2022-09-02T21:00:00Z,23.48,282.26,-84,0.92
Customer_Meter_3,2022-09-02T21:15:00Z,23.48,285.76,-60,0.93
Customer_Meter_3,2022-09-02T21:30:00Z,23.48,286.63,-83,0.92
Customer_Meter_3,2022-09-02T21:45:00Z,23.48,285.9,-76,0.9
Customer_Meter_3,2022-09-02T22:00:00Z,23.48,280.26,-59,0.92
Customer_Meter_3,2022-09-02T22:15:00Z,23.52,284.39,-79,0.99
Customer_Meter_3,2022-09-02T22:30:00Z,23.48,287.01,-58,0.95
Customer_Meter_3,2022-09-02T22:45:00Z,23.48,280.85,-66,0.9
Customer_Meter_3,2022-09-02T23:00:00Z,23.48,287.58,-80,0.94
Customer_Meter_3,2022-09-02T23:15:00Z,23.48,282.67,-77,0.98
Customer_Meter_3,2022-09-02T23:30:00Z,23.48,285.27,-83,0.93
Customer_Meter_3,2022-09-02T23:45:00Z,23.48,284.31,-65,0.91
Customer_Meter_3,2022-09-03T00:00:00Z,23.48,280.1,-55,0.94
Customer_Meter_3,2022-09-03T00:15:00Z,23.48,281.28,-65,0.95
Customer_Meter_3,2022-09-03T00:30:00Z,23.48,284.23,-57,0.92
Customer_Meter_3,2022-09-03T00:45:00Z,23.48,280.15,-62,0.95
Customer_Meter_3,2022-09-03T01:00:00Z,23.48,287.11,-67,0.95
Customer_Meter_3,2022-09-03T01:15:00Z,23.48,286.14,-71,0.92
Customer_Meter_3,2022-09-03T01:30:00Z,23.48,281.22,-58,0.96
Customer_Meter_3,2022-09-03T01:45:00Z,23.48,286.66,-71,0.91
Customer_Meter_3,2022-09-03T02:00:00Z,23.48,284.12,-78,0.96
Customer_Meter_3,2022-09-03T02:15:00Z,23.52,281.21,-76,0.96
Customer_Meter_3,2022-09-03T02:30:00Z,23.48,279.54,-73,0.95
Customer_Meter_3,2022-09-03T02:45:00Z,23.48,286.83,-68,0.97
Customer_Meter_3,2022-09-03T03:00:00Z,23.48,279.53,-62,0.97
Customer_Meter_3,2022-09-03T03:15:00Z,23.52,288.23,-56,0.97
Customer_Meter_3,2022-09-03T03:30:00Z,23.48,282.43,-62,0.97
Customer_Meter_3,2022-09-03T03:45:00Z,23.48,285.57,-56,0.95
Customer_Meter_3,2022-09-03T04:00:00Z,23.48,279.59,-53,0.97
Customer_Meter_3,2022-09-03T04:15:00Z,23.52,287.78,-71,0.95
Customer_Meter_3,2022-09-03T04:30:00Z,23.48,283.55,-73,0.92
Customer_Meter_3,2022-09-03T04:45:00Z,23.52,283.77,-77,0.95
Customer_Meter_3,2022-09-03T05:00:00Z,23.48,285.13,-66,0.97
Customer_Meter_3,2022-09-03T05:15:00Z,23.48,281.71,-81,0.96
Customer_Meter_3,2022-09-03T05:30:00Z,23.56,288.16,-68,0.97
Customer_Meter_3,2022-09-03T05:45:00Z,23.64,286.94,-80,0.97
Customer_Meter_3,2022-09-03T06:00:00Z,23.6,283.94,-80,0.99
Customer_Meter_3,2022-09-03T06:15:00Z,23.56,279.27,-58,0.96
Customer_Meter_3,2022-09-03T06:30:00Z,23.64,280.65,-74,0.94
Customer_Meter_3,2022-09-03T06:45:00Z,23.64,284.58,-75,0.9
Customer_Meter_3,2022-09-03T07:00:00Z,23.6,280.11,-72,0.98
Customer_Meter_3,2022-09-03T07:15:00Z,23.64,281.13,-71,0.91
Customer_Meter_3,2022-09-03T07:30:00Z,23.6,286.47,-56,0.91
Customer_Meter_3,2022-09-03T07:45:00Z,23.64,282.29,-82,0.97
Customer_Meter_3,2022-09-03T08:00:00Z,23.6,283.25,-60,0.93
Customer_Meter_3,2022-09-03T08:15:00Z,23.64,287.88,-75,0.98
Customer_Meter_3,2022-09-03T08:30:00Z,23.64,283.7,-79,0.93
Customer_Meter_3,2022-09-03T08:45:00Z,23.6,283.83,-81,0.96
Customer_Meter_3,2022-09-03T09:00:00Z,23.6,286.83,-59,0.94
Customer_Meter_3,2022-09-03T09:15:00Z,23.6,280.28,-54,0.96
Customer_Meter_3,2022-09-03T09:30:00Z,23.6,284.97,-55,0.9
Customer_Meter_3,2022-09-03T09:45:00Z,23.64,282.38,-64,0.94
Customer_Meter_3,2022-09-03T10:00:00Z,23.64,282.48,-60,0.98
Customer_Meter_3,2022-09-03T10:15:00Z,23.64,279.37,-54,0.92
Customer_Meter_3,2022-09-03T10:30:00Z,23.64,281.06,-84,0.93
Customer_Meter_3,2022-09-03T10:45:00Z,23.64,280.32,-73,0.9
Customer_Meter_3,2022-09-03T11:00:00Z,23.6,282.12,-54,0.9
Customer_Meter_3,2022-09-03T11:15:00Z,23.72,280.38,-55,0.96
Customer_Meter_3,2022-09-03T11:30:00Z,23.64,284.42,-53,0.98
Customer_Meter_3,2022-09-03T11:45:00Z,23.68,288.13,-80,0.99
Customer_Meter_3,2022-09-03T12:00:00Z,23.76,286.67,-79,0.93
Customer_Meter_3,2022-09-03T12:15:00Z,23.56,282.1,-52,0.93
Customer_Meter_3,2022-09-03T12:30:00Z,23.52,287.73,-58,0.94
Customer_Meter_3,2022-09-03T12:45:00Z,23.64,284.8,-53,0.9
Customer_Meter_3,2022-09-03T13:00:00Z,23.56,281.82,-79,0.92
Customer_Meter_3,2022-09-03T13:15:00Z,23.52,286.16,-78,0.98
Customer_Meter_3,2022-09-03T13:30:00Z,23.52,286.77,-76,0.91
Customer_Meter_3,2022-09-03T13:45:00Z,23.52,284.1,-63,0.97
Customer_Meter_3,2022-09-03T14:00:00Z,23.52,282.79,-82,0.93
Customer_Meter_3,2022-09-03T14:15:00Z,23.56,287.25,-72,0.96
Customer_Meter_3,2022-09-03T14:30:00Z,23.52,282.06,-52,0.93
Customer_Meter_3,2022-09-03T14:45:00Z,23.56,284.94,-56,0.96
Customer_Meter_3,2022-09-03T15:00:00Z,23.56,285.11,-62,0.94
Customer_Meter_3,2022-09-03T15:15:00Z,23.52,284.09,-81,0.94
Customer_Meter_3,2022-09-03T15:30:00Z,23.52,287.68,-53,0.92
Customer_Meter_3,2022-09-03T15:45:00Z,23.56,286.3,-84,0.92
Customer_Meter_3,2022-09-03T16:00:00Z,23.52,286.62,-72,0.98
Customer_Meter_3,2022-09-03T16:15:00Z,23.48,282.86,-63,0.92
Customer_Meter_3,2022-09-03T16:30:00Z,23.48,283.99,-84,0.97
Customer_Meter_3,2022-09-03T16:45:00Z,23.48,282.84,-64,0.93
Customer_Meter_3,2022-09-03T17:00:00Z,23.48,282.12,-67,0.99
Customer_Meter_3,2022-09-03T17:15:00Z,23.48,282.61,-74,0.95
Customer_Meter_3,2022-09-03T17:30:00Z,23.52,282.12,-80,0.94
Customer_Meter_3,2022-09-03T17:45:00Z,23.48,281.59,-66,0.94
Customer_Meter_3,2022-09-03T18:00:00Z,23.52,284,-61,0.92
Customer_Meter_3,2022-09-03T18:15:00Z,23.6,284.18,-84,0.94
Customer_Meter_3,2022-09-03T18:30:00Z,23.56,280.59,-63,0.96
Customer_Meter_3,2022-09-03T18:45:00Z,23.52,285.32,-66,0.95
Customer_Meter_3,2022-09-03T19:00:00Z,23.6,281.42,-53,0.95
Customer_Meter_3,2022-09-03T19:15:00Z,23.56,286.09,-64,0.96
Customer_Meter_3,2022-09-03T19:30:00Z,23.52,283.67,-60,0.95
Customer_Meter_3,2022-09-03T19:45:00Z,23.64,287.43,-53,0.98
Customer_Meter_3,2022-09-03T20:00:00Z,23.52,286.33,-63,0.97
Customer_Meter_3,2022-09-03T20:15:00Z,23.52,279.83,-75,0.98
Customer_Meter_3,2022-09-03T20:30:00Z,23.64,281.29,-77,0.96
Customer_Meter_3,2022-09-03T20:45:00Z,23.52,279.81,-60,0.91
Customer_Meter_3,2022-09-03T21:00:00Z,23.56,286.6,-78,0.92
Customer_Meter_3,2022-09-03T21:15:00Z,23.56,283.11,-69,0.98
Customer_Meter_3,2022-09-03T21:30:00Z,23.52,287.25,-80,0.98
Customer_Meter_3,2022-09-03T21:45:00Z,23.56,282.17,-76,0.98
Customer_Meter_3,2022-09-03T22:00:00Z,23.6,288.07,-57,0.91
Customer_Meter_3,2022-09-03T22:15:00Z,23.52,279.91,-55,0.97
Customer_Meter_3,2022-09-03T22:30:00Z,23.52,286.8,-78,0.99
Customer_Meter_3,2022-09-03T22:45:00Z,23.64,282.01,-65,0.93
Customer_Meter_3,2022-09-03T23:00:00Z,23.48,285.72,-60,0.95
Customer_Meter_3,2022-09-03T23:15:00Z,23.56,280.48,-68,0.95
Customer_Meter_3,2022-09-03T23:30:00Z,23.56,284.11,-63,0.97
Customer_Meter_3,2022-09-03T23:45:00Z,23.52,286.21,-67,0.99
Customer_Meter_3,2022-09-04T00:00:00Z,23.52,287.43,-61,0.94
Customer_Meter_3,2022-09-04T00:15:00Z,23.6,287.15,-62,0.98
Customer_Meter_3,2022-09-04T00:30:00Z,23.56,286.64,-64,0.93
Customer_Meter_3,2022-09-04T00:45:00Z,23.6,282.99,-52,0.95
Customer_Meter_3,2022-09-04T01:00:00Z,23.52,279.07,-55,0.98
Customer_Meter_3,2022-09-04T01:15:00Z,23.56,286.13,-55,0.91
Customer_Meter_3,2022-09-04T01:30:00Z,23.6,280.55,-64,0.93
Customer_Meter_3,2022-09-04T01:45:00Z,23.56,287.5,-57,0.94
Customer_Meter_3,2022-09-04T02:00:00Z,23.52,280.08,-73,0.98
Customer_Meter_3,2022-09-04T02:15:00Z,23.56,285.81,-64,0.96
Customer_Meter_3,2022-09-04T02:30:00Z,23.56,286.13,-74,0.92
Customer_Meter_3,2022-09-04T02:45:00Z,23.52,282.06,-61,0.92
Customer_Meter_3,2022-09-04T03:00:00Z,23.56,283.74,-72,0.9
Customer_Meter_3,2022-09-04T03:15:00Z,23.56,287.45,-68,0.92
Customer_Meter_3,2022-09-04T03:30:00Z,23.56,287.44,-74,0.99
Customer_Meter_3,2022-09-04T03:45:00Z,23.52,284.81,-75,0.95
Customer_Meter_3,2022-09-04T04:00:00Z,23.6,281.99,-74,0.91
Customer_Meter_3,2022-09-04T04:15:00Z,23.52,282.31,-64,0.95
Customer_Meter_3,2022-09-04T04:30:00Z,23.56,285.36,-53,0.96
Customer_Meter_3,2022-09-04T04:45:00Z,23.56,279.78,-61,0.97
Customer_Meter_3,2022-09-04T05:00:00Z,23.56,283.23,-69,0.91
Customer_Meter_3,2022-09-04T05:15:00Z,23.56,284.36,-71,0.94
Customer_Meter_3,2022-09-04T05:30:00Z,23.56,286.2,-62,0.9
Customer_Meter_3,2022-09-04T05:45:00Z,23.56,283.6,-70,0.94
Customer_Meter_3,2022-09-04T06:00:00Z,23.56,286.98,-65,0.95
Customer_Meter_3,2022-09-04T06:15:00Z,23.56,287.71,-69,0.97
Customer_Meter_3,2022-09-04T06:30:00Z,23.52,285.48,-77,0.9
Customer_Meter_3,2022-09-04T06:45:00Z,23.56,281.8,-69,0.9
Customer_Meter_3,2022-09-04T07:00:00Z,23.56,283.14,-56,0.98
Customer_Meter_3,2022-09-04T07:15:00Z,23.52,279.63,-52,0.91
Customer_Meter_3,2022-09-04T07:30:00Z,23.56,287.77,-70,0.96
Customer_Meter_3,2022-09-04T07:45:00Z,23.52,287.9,-52,0.95
Customer_Meter_3,2022-09-04T08:00:00Z,23.52,283.35,-80,0.98
Customer_Meter_3,2022-09-04T08:15:00Z,23.56,279.34,-79,0.96
Customer_Meter_3,2022-09-04T08:30:00Z,23.56,284.83,-79,0.91
Customer_Meter_3,2022-09-04T08:45:00Z,23.56,282.64,-66,0.91
Customer_Meter_3,2022-09-04T09:00:00Z,23.56,286.77,-72,0.95
Customer_Meter_3,2022-09-04T09:15:00Z,23.52,285.75,-68,0.9
Customer_Meter_3,2022-09-04T09:30:00Z,23.52,286.11,-63,0.98
Customer_Meter_3,2022-09-04T09:45:00Z,23.52,286.35,-79,0.98
Customer_Meter_3,2022-09-04T10:00:00Z,23.48,283.24,-62,0.95
Customer_Meter_3,2022-09-04T10:15:00Z,23.52,279.83,-82,0.96
Customer_Meter_3,2022-09-04T10:30:00Z,23.52,283.74,-71,0.94
Customer_Meter_3,2022-09-04T10:45:00Z,23.52,285.37,-57,0.95
Customer_Meter_3,2022-09-04T11:00:00Z,23.52,281.12,-78,0.92
Customer_Meter_3,2022-09-04T11:15:00Z,23.52,285.49,-84,0.96
Customer_Meter_3,2022-09-04T11:30:00Z,23.52,282.11,-69,0.96
Customer_Meter_3,2022-09-04T11:45:00Z,23.52,281.59,-53,0.93
Customer_Meter_3,2022-09-04T12:00:00Z,23.48,282.66,-58,0.96
Customer_Meter_3,2022-09-04T12:15:00Z,23.52,279.81,-70,0.93
Customer_Meter_3,2022-09-04T12:30:00Z,23.52,284.97,-80,0.95
Customer_Meter_3,2022-09-04T12:45:00Z,23.52,285.15,-69,0.93
Customer_Meter_3,2022-09-04T13:00:00Z,23.52,280.32,-80,0.98
Customer_Meter_3,2022-09-04T13:15:00Z,23.52,280.46,-66,0.96
Customer_Meter_3,2022-09-04T13:30:00Z,23.52,286.81,-75,0.96
Customer_Meter_3,2022-09-04T13:45:00Z,23.52,284.84,-75,0.98
Customer_Meter_3,2022-09-04T14:00:00Z,23.52,285.85,-65,0.9
Customer_Meter_3,2022-09-04T14:15:00Z,23.52,285.83,-84,0.91
Customer_Meter_3,2022-09-04T14:30:00Z,23.52,283.52,-72,0.99
Customer_Meter_3,2022-09-04T14:45:00Z,23.52,282.32,-52,0.96
